strike,bid,ask,price,bs_price,binomial_price,s,q,r,t,intrinsic_value,model_valid,stale,break
5.0,323.0,331.25,327.125,325.90025779342784,327.93499755859375,332.93499755859375,0.0032,0.04352,2.3808219178082193,325.90025779342784,True,False,Within Tolerance
10.0,318.1,326.15,322.125,321.3923887651831,322.93499755859375,332.93499755859375,0.0032,0.04352,2.3808219178082193,321.3923887651831,True,False,Within Tolerance
15.0,315.5,320.5,318.0,316.88451973693833,317.93499755859375,332.93499755859375,0.0032,0.04352,2.3808219178082193,316.88451973693833,True,False,Within Tolerance
20.0,0.0,0.0,0.0,312.3766507086936,312.93499755859375,332.93499755859375,0.0032,0.04352,2.3808219178082193,312.37665070869355,True,True,Stale
25.0,0.0,0.0,0.0,307.86878168045365,308.11176060084716,332.93499755859375,0.0032,0.04352,2.3808219178082193,307.8687816804488,True,True,Stale
30.0,301.5,306.0,303.75,303.3609126523585,303.46898785403,332.93499755859375,0.0032,0.04352,2.3808219178082193,303.36091265220404,True,False,Within Tolerance
35.0,231.0,236.0,233.5,298.85304362638374,298.902161615867,332.93499755859375,0.0032,0.04352,2.3808219178082193,298.85304362395925,True,True,Stale
40.0,292.5,297.5,295.0,294.34517461893734,294.3679673270335,332.93499755859375,0.0032,0.04352,2.3808219178082193,294.3451745957145,True,False,Within Tolerance
45.0,226.0,230.5,228.25,289.83730572220895,289.8481016815154,332.93499755859375,0.0032,0.04352,2.3808219178082193,289.83730556746974,True,True,Stale
50.0,283.5,288.5,286.0,285.32943732141075,285.33465309714506,332.93499755859375,0.0032,0.04352,2.3808219178082193,285.32943653922496,True,False,Within Tolerance
60.0,275.0,280.0,277.5,276.31370938827456,276.3149927784745,332.93499755859375,0.0032,0.04352,2.3808219178082193,276.31369848273545,True,False,Within Tolerance
70.0,266.5,271.5,269.0,267.2980461598473,267.2983677815021,332.93499755859375,0.0032,0.04352,2.3808219178082193,267.29796042624594,True,False,Within Tolerance
80.0,257.5,262.5,260.0,258.2826753256953,258.28270634659344,332.93499755859375,0.0032,0.04352,2.3808219178082193,258.28222236975637,True,False,Within Tolerance
90.0,248.5,253.5,251.0,249.26827664818785,249.268039006521,332.93499755859375,0.0032,0.04352,2.3808219178082193,249.26648431326686,True,False,Within Tolerance
100.0,239.85,244.5,242.175,240.25644947278045,240.25603446603085,332.93499755859375,0.0032,0.04352,2.3808219178082193,240.25074625677735,True,False,Within Tolerance
110.0,231.5,236.5,234.0,231.25033299719775,231.24964772268316,332.93499755859375,0.0032,0.04352,2.3808219178082193,231.2350082002878,True,False,Within Tolerance
120.0,222.5,227.0,224.75,222.25527848922624,222.25395494050258,332.93499755859375,0.0032,0.04352,2.3808219178082193,222.21927014379827,True,False,Within Tolerance
125.0,218.5,223.0,220.75,217.76432613834396,217.76230829759317,332.93499755859375,0.0032,0.04352,2.3808219178082193,217.7114011155535,True,False,Within Tolerance
