strike,bid,ask,price,bs_price,binomial_price
5.0,320.75,324.4,322.575,268.4303388801034,330.81500244140625
30.0,238.0,243.0,240.5,244.13268826758613,305.81500244140625
45.0,289.5,293.05,291.275,229.55409790007573,290.81500244140625
50.0,284.65,288.2,286.42499999999995,224.69456777757227,285.81500244140625
60.0,266.65,270.15,268.4,214.97550753256533,275.81500244140625
70.0,0.0,0.0,0.0,205.25644728756373,265.81500244140625
80.0,255.5,259.2,257.35,195.53738704314682,255.81500244140625
85.0,250.65,254.25,252.45,190.67785692444127,250.81500244140625
90.0,209.1,212.85,210.975,185.81832682421094,245.81500244140625
95.0,241.1,244.6,242.85,180.95879681163757,240.81500244140625
100.0,228.15,232.0,230.075,176.0992671557394,235.81500244140625
105.0,198.0,201.75,199.875,171.23973876764205,230.81500244140625
110.0,226.45,230.05,228.25,166.38021437800273,225.81500244140625
115.0,188.35,192.25,190.3,161.52070132711492,220.81500244140625
120.0,216.9,220.5,218.7,156.66121751872475,215.81500244140625
125.0,211.95,215.65,213.8,151.80180297398243,210.81500244140625
130.0,207.15,210.85,209.0,146.94254039180566,205.81500244140625
135.0,202.3,206.0,204.15,142.08358893252387,200.81500244140625
140.0,197.5,201.15,199.325,137.22523576698984,195.81500244140625
145.0,179.05,182.4,180.72500000000002,132.36796944522524,190.81500244140625
150.0,187.9,191.55,189.72500000000002,127.51257761239606,185.81500244140625
155.0,183.45,186.3,184.875,122.66026900982692,180.81500244140625
160.0,178.8,181.5,180.15,117.81281626864774,175.81500244140625
165.0,174.4,177.2,175.8,112.97271219059135,170.81500244140625
170.0,168.85,171.95,170.39999999999998,108.14332862349724,165.81500244140625
175.0,164.7,167.2,165.95,103.32906431480842,160.81500244140625
180.0,159.3,162.9,161.10000000000002,98.53546679544579,155.81500244140625
185.0,155.45,157.55,156.5,93.76931372560861,150.81500244140625
190.0,150.3,152.45,151.375,89.03864126750943,145.81500244140625
195.0,145.55,148.5,147.025,84.35271070962776,140.81500244140625
200.0,141.75,143.3,142.525,79.72190930441735,135.81500244140625
210.0,131.7,134.05,132.875,70.67183198528036,125.81500244140625
220.0,122.75,124.85,123.8,61.986436455920824,115.81500244140625
230.0,113.95,116.15,115.05000000000001,53.76629478066252,105.81500244140625
240.0,105.0,107.05,106.025,46.1045250936979,95.81500244140625
250.0,95.95,98.1,97.025,39.07768944877742,85.81500244140625
260.0,87.45,89.3,88.375,32.73915451316654,75.81500244140625
270.0,79.1,81.15,80.125,27.11574065170501,65.81500244140625
280.0,71.45,72.85,72.15,22.20770132572244,55.81500244140625
290.0,63.8,65.4,64.6,17.991465653715295,45.81500244140625
300.0,56.3,57.95,57.125,14.424241495502272,35.81500244140625
310.0,49.2,51.4,50.3,11.449507531104018,26.240654223782055
320.0,43.3,44.6,43.95,9.002549357709597,19.026536062265798
330.0,37.4,38.6,38.0,7.015425415637935,13.8954169707261
340.0,31.85,33.05,32.45,5.421003449185832,10.08932241687481
350.0,27.2,27.9,27.549999999999997,4.155932808138893,7.342247165695158
360.0,23.0,23.45,23.225,3.162585126377433,5.3514816548195805
370.0,19.2,19.85,19.525,2.3901002781373286,3.879987307290316
380.0,15.95,16.6,16.275,1.7947239576707616,2.8030766370886684
390.0,13.1,13.95,13.524999999999999,1.3396317714649548,2.0367918844907233
400.0,10.9,11.45,11.175,0.9944172053438773,1.4678663234809335
410.0,8.9,9.5,9.2,0.7343898914963383,1.0486122942533371
420.0,7.25,7.9,7.575,0.5397955593373878,0.7613947045104994
430.0,5.8,6.45,6.125,0.39503584742169373,0.5416144494375175
440.0,4.95,5.3,5.125,0.2879379353719589,0.3896660939733728
450.0,4.0,4.35,4.175,0.20910187416586146,0.27758535890498975
460.0,3.25,3.6,3.425,0.15133743252030918,0.19671973819259783
470.0,2.69,3.1,2.895,0.10919144017676774,0.14090282243605112
480.0,2.18,2.54,2.3600000000000003,0.07855993350992518,0.09829308137801754
490.0,1.78,1.96,1.87,0.05637582398697727,0.07087284673560686
500.0,1.45,1.61,1.53,0.04036137260041739,0.04884781981945882
510.0,1.18,1.32,1.25,0.02883470372325947,0.03536595378762974
520.0,0.96,1.11,1.0350000000000001,0.020560358614523266,0.024255286915848096
530.0,0.79,0.9,0.845,0.014635068177498878,0.017514629196640416
540.0,0.64,0.74,0.69,0.010401248418754144,0.012060149915823545
550.0,0.0,0.0,0.0,0.007382025023247474,0.008596183354441799
560.0,0.23,0.52,0.375,0.005232783599496499,0.0059966109860146305
580.0,0.19,0.49,0.33999999999999997,0.002621190012460972,0.0029684382682545426
590.0,0.14,0.43,0.28500000000000003,0.001852770405566806,0.0020019422939405876
600.0,0.14,0.31,0.225,0.0013087048897707232,0.0014525352414676749
