strike,bid,ask,price,bs_price,binomial_price,s,q,r,t,intrinsic_value,model_valid,stale,break
5.0,320.75,324.4,322.575,334.5220022342736,335.0799865722656,340.0799865722656,0.0032,0.043970003,0.6410958904109589,334.5220022342736,True,False,Within Tolerance
30.0,238.0,243.0,240.5,310.2168868789183,310.22188535431127,340.0799865722656,0.0032,0.043970003,0.6410958904109589,310.2168868789183,True,False,Large Break
45.0,293.8,297.55,295.675,295.63381766570507,295.63382752560443,340.0799865722656,0.0032,0.043970003,0.6410958904109589,295.63381766570507,True,False,Within Tolerance
50.0,288.85,292.65,290.75,290.77279459463404,290.7727956743221,340.0799865722656,0.0032,0.043970003,0.6410958904109589,290.77279459463404,True,False,Within Tolerance
60.0,266.65,270.15,268.4,281.0507484524919,281.05074846441516,340.0799865722656,0.0032,0.043970003,0.6410958904109589,281.0507484524919,True,False,Within Tolerance
70.0,0.0,0.0,0.0,271.32870231034974,271.32870231047326,340.0799865722656,0.0032,0.043970003,0.6410958904109589,271.3287023103498,True,True,Stale
80.0,259.8,263.55,261.675,261.6066561682079,261.60665616820864,340.0799865722656,0.0032,0.043970003,0.6410958904109589,261.6066561682077,True,False,Within Tolerance
85.0,255.0,258.75,256.875,256.7456330971391,256.74563309713665,340.0799865722656,0.0032,0.043970003,0.6410958904109589,256.7456330971366,True,False,Within Tolerance
90.0,209.1,212.85,210.975,251.88461002608597,251.88461002606795,340.0799865722656,0.0032,0.043970003,0.6410958904109589,251.88461002606556,True,False,Small Break
95.0,245.25,249.05,247.15,247.02358695513473,247.0235869550153,340.0799865722656,0.0032,0.043970003,0.6410958904109589,247.02358695499447,True,False,Within Tolerance
100.0,228.15,232.0,230.075,242.16256388474056,242.1625638841105,340.0799865722656,0.0032,0.043970003,0.6410958904109589,242.16256388392344,True,False,Within Tolerance
105.0,198.0,201.75,199.875,237.30154081696838,237.3015408141272,340.0799865722656,0.0032,0.043970003,0.6410958904109589,237.30154081285235,True,False,Small Break
110.0,230.8,234.5,232.65,232.44051776000362,232.44051774845457,340.0799865722656,0.0032,0.043970003,0.6410958904109589,232.44051774178132,True,False,Within Tolerance
115.0,188.35,192.25,190.3,227.57949474261682,227.57949470057764,340.0799865722656,0.0032,0.043970003,0.6410958904109589,227.57949467071023,True,False,Small Break
120.0,221.1,224.85,222.975,222.71847185559966,222.71847171857945,340.0799865722656,0.0032,0.043970003,0.6410958904109589,222.7184715996392,True,False,Within Tolerance
125.0,216.25,219.9,218.075,217.85744935900684,217.85744895818524,340.0799865722656,0.0032,0.043970003,0.6410958904109589,217.8574485285681,True,False,Within Tolerance
130.0,211.4,215.2,213.3,212.9964279353395,212.99642687987924,340.0799865722656,0.0032,0.043970003,0.6410958904109589,212.99642545749708,True,False,Within Tolerance
135.0,206.65,210.25,208.45,208.1354092393784,208.13540672834765,340.0799865722656,0.0032,0.043970003,0.6410958904109589,208.13540238642602,True,False,Within Tolerance
140.0,201.75,205.6,203.675,203.2743970046125,203.27439157002243,340.0799865722656,0.0032,0.043970003,0.6410958904109589,203.27437931535496,True,False,Within Tolerance
145.0,179.05,182.4,180.72500000000002,198.4133991194518,198.41338823146216,340.0799865722656,0.0032,0.043970003,0.6410958904109589,198.4133562442839,True,False,Within Tolerance
150.0,192.0,195.8,193.9,193.5524312805172,193.55241018396185,340.0799865722656,0.0032,0.043970003,0.6410958904109589,193.55233317321284,True,False,Within Tolerance
155.0,187.5,191.0,189.25,188.69152304957197,188.69147994604256,340.0799865722656,0.0032,0.043970003,0.6410958904109589,188.69131010214178,True,False,Within Tolerance
160.0,182.7,186.2,184.45,183.83072735497132,183.83062523290076,340.0799865722656,0.0032,0.043970003,0.6410958904109589,183.83028703107072,True,False,Within Tolerance
165.0,177.9,181.45,179.675,178.9701346447799,178.96999362851696,340.0799865722656,0.0032,0.043970003,0.6410958904109589,178.96926395999964,True,False,Within Tolerance
170.0,173.1,176.65,174.875,174.10989296642225,174.10970902427758,340.0799865722656,0.0032,0.043970003,0.6410958904109589,174.10824088892858,True,False,Within Tolerance
175.0,168.3,172.0,170.15,169.25023516784248,169.24993279097967,340.0799865722656,0.0032,0.043970003,0.6410958904109589,169.24721781785752,True,False,Within Tolerance
180.0,163.55,167.25,165.4,164.39151415065254,164.39080029478745,340.0799865722656,0.0032,0.043970003,0.6410958904109589,164.38619474678646,True,False,Within Tolerance
